,min,max
Соотношение матрица-наполнитель,0.4657267649425636,5.4048197761021415
"Плотность, кг/м3",1778.3271053007102,2167.20273608743
"модуль упругости, ГПа",2.4369087535075,1654.4601385737328
"Количество отвердителя, м.%",36.51319505659012,185.66066810509074
"Содержание эпоксидных групп,%_2",15.57718502104257,28.99278301000118
"Температура вспышки, С_2",178.16316129355107,393.90547204494294
"Поверхностная плотность, г/м2",0.603739925153945,1332.8375748615078
"Потребление смолы, г/м2",62.84621449241624,374.2630297955743
"Угол нашивки, град",0.0,90.0
Шаг нашивки,0.0,13.845682536538867
Плотность нашивки,27.08058869124911,87.66358461459389
